Date,Open,High,Low,Close
10/10/2019,"2,918.55","2,948.46","2,917.12","2,938.13"
10/09/2019,"2,911.10","2,929.32","2,907.41","2,919.40"
10/08/2019,"2,920.40","2,925.47","2,892.66","2,893.06"
10/07/2019,"2,944.23","2,959.75","2,935.68","2,938.79"
10/04/2019,"2,918.56","2,953.74","2,918.56","2,952.01"
10/03/2019,"2,885.38","2,911.13","2,855.94","2,910.63"
10/02/2019,"2,924.78","2,924.78","2,874.93","2,887.61"
10/01/2019,"2,983.69","2,992.53","2,938.70","2,940.25"
09/30/2019,"2,967.07","2,983.85","2,967.07","2,976.74"
09/27/2019,"2,985.47","2,987.31","2,945.53","2,961.79"
09/26/2019,"2,985.73","2,987.28","2,963.71","2,977.62"
09/25/2019,"2,968.35","2,989.82","2,952.86","2,984.87"
09/24/2019,"3,002.43","3,007.98","2,957.73","2,966.60"
09/23/2019,"2,983.50","2,999.15","2,982.23","2,991.78"
09/20/2019,"3,008.42","3,016.37","2,984.68","2,992.07"
09/19/2019,"3,010.36","3,021.99","3,003.16","3,006.79"
09/18/2019,"3,001.50","3,007.83","2,978.57","3,006.73"
09/17/2019,"2,995.67","3,006.21","2,993.73","3,005.70"
09/16/2019,"2,996.41","3,002.19","2,990.67","2,997.96"
09/13/2019,"3,012.21","3,017.33","3,002.90","3,007.39"
09/12/2019,"3,009.08","3,020.74","3,000.92","3,009.57"
09/11/2019,"2,981.41","3,000.93","2,975.31","3,000.93"
09/10/2019,"2,971.01","2,979.39","2,957.01","2,979.39"
09/09/2019,"2,988.43","2,989.43","2,969.39","2,978.43"
09/06/2019,"2,980.33","2,985.03","2,972.51","2,978.71"
09/05/2019,"2,960.60","2,985.86","2,960.60","2,976.00"
09/04/2019,"2,924.67","2,938.84","2,921.86","2,937.78"
09/03/2019,"2,909.01","2,914.39","2,891.85","2,906.27"
08/30/2019,"2,937.09","2,940.43","2,913.32","2,926.46"
08/29/2019,"2,910.37","2,930.50","2,905.67","2,924.58"
08/28/2019,"2,861.28","2,890.03","2,853.05","2,887.94"
08/27/2019,"2,893.14","2,898.79","2,860.59","2,869.16"
08/26/2019,"2,866.70","2,879.27","2,856.00","2,878.38"
08/23/2019,"2,911.07","2,927.01","2,834.97","2,847.11"
08/22/2019,"2,930.94","2,939.08","2,904.51","2,922.95"
08/21/2019,"2,922.04","2,928.73","2,917.91","2,924.43"
08/20/2019,"2,919.01","2,923.63","2,899.60","2,900.51"
08/19/2019,"2,913.48","2,931.00","2,913.48","2,923.65"
08/16/2019,"2,864.74","2,893.63","2,864.74","2,888.68"
08/15/2019,"2,846.20","2,856.67","2,825.51","2,847.60"
08/14/2019,"2,894.15","2,894.15","2,839.64","2,840.60"
08/13/2019,"2,880.72","2,943.31","2,877.05","2,926.32"
08/12/2019,"2,907.07","2,907.58","2,873.14","2,883.75"
08/09/2019,"2,930.51","2,935.75","2,900.15","2,918.65"
08/08/2019,"2,896.21","2,938.72","2,894.47","2,938.09"
08/07/2019,"2,858.65","2,892.17","2,825.71","2,883.98"
08/06/2019,"2,861.18","2,884.40","2,847.42","2,881.77"
08/05/2019,"2,898.07","2,898.07","2,822.12","2,844.74"
08/02/2019,"2,943.90","2,945.50","2,914.11","2,932.05"
08/01/2019,"2,980.32","3,013.59","2,945.23","2,953.56"
07/31/2019,"3,016.22","3,017.40","2,958.08","2,980.38"
07/30/2019,"3,007.66","3,017.19","3,000.94","3,013.18"
07/29/2019,"3,024.47","3,025.61","3,014.30","3,020.97"
07/26/2019,"3,013.25","3,027.98","3,012.59","3,025.86"
07/25/2019,"3,016.26","3,016.31","2,997.24","3,003.67"
07/24/2019,"2,998.77","3,019.59","2,996.82","3,019.56"
07/23/2019,"2,994.74","3,005.90","2,988.56","3,005.47"
07/22/2019,"2,981.93","2,990.71","2,976.65","2,985.03"
07/19/2019,"3,004.26","3,006.02","2,975.86","2,976.61"
07/18/2019,"2,978.87","2,998.28","2,973.09","2,995.11"
07/17/2019,"3,005.10","3,005.26","2,984.25","2,984.42"
07/16/2019,"3,012.13","3,015.02","3,001.15","3,004.04"
07/15/2019,"3,017.80","3,017.80","3,008.77","3,014.30"
07/12/2019,"3,003.36","3,013.92","3,001.87","3,013.77"
07/11/2019,"2,999.62","3,002.33","2,988.80","2,999.91"
07/10/2019,"2,989.30","3,002.98","2,984.62","2,993.07"
07/09/2019,"2,965.52","2,981.90","2,963.44","2,979.63"
07/08/2019,"2,979.77","2,980.76","2,970.09","2,975.95"
07/05/2019,"2,984.25","2,994.03","2,967.97","2,990.41"
07/03/2019,"2,978.08","2,995.84","2,977.96","2,995.82"
07/02/2019,"2,964.66","2,973.21","2,955.92","2,973.01"
07/01/2019,"2,971.41","2,977.93","2,952.22","2,964.33"
06/28/2019,"2,932.94","2,943.98","2,929.05","2,941.76"
06/27/2019,"2,919.66","2,929.30","2,918.57","2,924.92"
06/26/2019,"2,926.07","2,932.59","2,912.99","2,913.78"
06/25/2019,"2,945.78","2,946.52","2,916.01","2,917.38"
06/24/2019,"2,951.42","2,954.92","2,944.05","2,945.35"
06/21/2019,"2,952.71","2,964.15","2,946.87","2,950.46"
06/20/2019,"2,949.60","2,958.06","2,931.50","2,954.18"
06/19/2019,"2,920.55","2,931.74","2,911.43","2,926.46"
06/18/2019,"2,906.71","2,930.79","2,905.44","2,917.75"
06/17/2019,"2,889.75","2,897.27","2,887.30","2,889.67"
06/14/2019,"2,886.82","2,894.45","2,879.62","2,886.98"
06/13/2019,"2,886.24","2,895.24","2,881.99","2,891.64"
06/12/2019,"2,882.73","2,888.57","2,874.68","2,879.84"
06/11/2019,"2,903.27","2,910.61","2,878.53","2,885.72"
06/10/2019,"2,885.83","2,904.77","2,885.51","2,886.73"
06/07/2019,"2,852.87","2,884.97","2,852.87","2,873.34"
06/06/2019,"2,828.51","2,852.10","2,822.45","2,843.49"
06/05/2019,"2,818.09","2,827.28","2,800.92","2,826.15"
06/04/2019,"2,762.64","2,804.49","2,762.64","2,803.27"
06/03/2019,"2,751.53","2,763.07","2,728.81","2,744.45"
05/31/2019,"2,766.15","2,768.98","2,750.52","2,752.06"
05/30/2019,"2,786.94","2,799.00","2,776.74","2,788.86"
05/29/2019,"2,790.25","2,792.03","2,766.06","2,783.02"
05/28/2019,"2,830.03","2,840.51","2,801.58","2,802.39"
05/24/2019,"2,832.41","2,841.36","2,820.19","2,826.06"
05/23/2019,"2,836.70","2,836.70","2,805.49","2,822.24"
05/22/2019,"2,856.06","2,865.47","2,851.11","2,856.27"
05/21/2019,"2,854.02","2,868.88","2,854.02","2,864.36"
05/20/2019,"2,841.94","2,853.86","2,831.29","2,840.23"
05/17/2019,"2,858.60","2,885.48","2,854.23","2,859.53"
05/16/2019,"2,855.80","2,892.15","2,855.80","2,876.32"
05/15/2019,"2,820.38","2,858.68","2,815.08","2,850.96"
05/14/2019,"2,820.12","2,852.54","2,820.12","2,834.41"
05/13/2019,"2,840.19","2,840.19","2,801.43","2,811.87"
05/10/2019,"2,863.10","2,891.31","2,825.39","2,881.40"
05/09/2019,"2,859.84","2,875.97","2,836.40","2,870.72"
05/08/2019,"2,879.61","2,897.96","2,873.28","2,879.42"
05/07/2019,"2,913.03","2,913.03","2,862.60","2,884.05"
05/06/2019,"2,908.89","2,937.32","2,898.21","2,932.47"
05/03/2019,"2,929.21","2,947.85","2,929.21","2,945.64"
05/02/2019,"2,922.16","2,931.68","2,900.50","2,917.52"
05/01/2019,"2,952.33","2,954.13","2,923.36","2,923.73"
04/30/2019,"2,937.14","2,948.22","2,924.11","2,945.83"
04/29/2019,"2,940.58","2,949.52","2,939.35","2,943.03"
04/26/2019,"2,925.81","2,939.88","2,917.56","2,939.88"
04/25/2019,"2,928.99","2,933.10","2,912.84","2,926.17"
04/24/2019,"2,934.00","2,936.83","2,926.05","2,927.25"
04/23/2019,"2,909.99","2,936.31","2,908.53","2,933.68"
04/22/2019,"2,898.78","2,909.51","2,896.35","2,907.97"
04/18/2019,"2,904.81","2,908.40","2,891.90","2,905.03"
04/17/2019,"2,916.04","2,918.00","2,895.45","2,900.45"
04/16/2019,"2,912.26","2,916.06","2,900.71","2,907.06"
04/15/2019,"2,908.32","2,909.60","2,896.48","2,905.58"
04/12/2019,"2,900.86","2,910.54","2,898.37","2,907.41"
04/11/2019,"2,891.92","2,893.42","2,881.99","2,888.32"
04/10/2019,"2,881.37","2,889.71","2,879.13","2,888.21"
04/09/2019,"2,886.58","2,886.88","2,873.33","2,878.20"
04/08/2019,"2,888.46","2,895.95","2,880.78","2,895.77"
04/05/2019,"2,884.16","2,893.24","2,882.99","2,892.74"
04/04/2019,"2,873.99","2,881.28","2,867.14","2,879.39"
04/03/2019,"2,876.09","2,885.25","2,865.17","2,873.40"
04/02/2019,"2,868.24","2,872.90","2,858.75","2,867.24"
04/01/2019,"2,848.63","2,869.40","2,848.63","2,867.19"
03/29/2019,"2,828.27","2,836.03","2,819.23","2,834.40"
03/28/2019,"2,809.40","2,819.71","2,798.77","2,815.44"
03/27/2019,"2,819.72","2,825.56","2,787.72","2,805.37"
03/26/2019,"2,812.66","2,829.87","2,803.99","2,818.46"
03/25/2019,"2,796.01","2,809.79","2,785.02","2,798.36"
03/22/2019,"2,844.52","2,846.16","2,800.47","2,800.71"
03/21/2019,"2,819.72","2,860.31","2,817.38","2,854.88"
03/20/2019,"2,831.34","2,843.54","2,812.43","2,824.23"
03/19/2019,"2,840.76","2,852.42","2,823.27","2,832.57"
03/18/2019,"2,822.61","2,835.41","2,821.99","2,832.94"
03/15/2019,"2,810.79","2,830.73","2,810.79","2,822.48"
03/14/2019,"2,810.38","2,815.00","2,803.46","2,808.48"
03/13/2019,"2,799.78","2,821.24","2,799.78","2,810.92"
03/12/2019,"2,787.34","2,798.32","2,786.73","2,791.52"
03/11/2019,"2,747.61","2,784.00","2,747.61","2,783.30"
03/08/2019,"2,730.79","2,744.13","2,722.27","2,743.07"
03/07/2019,"2,766.53","2,767.25","2,739.09","2,748.93"
03/06/2019,"2,790.27","2,790.27","2,768.69","2,771.45"
03/05/2019,"2,794.41","2,796.44","2,782.97","2,789.65"
03/04/2019,"2,814.37","2,816.88","2,767.66","2,792.81"
03/01/2019,"2,798.22","2,808.02","2,787.38","2,803.69"
02/28/2019,"2,788.11","2,793.73","2,782.51","2,784.49"
02/27/2019,"2,787.50","2,795.76","2,775.13","2,792.38"
02/26/2019,"2,792.36","2,803.12","2,789.47","2,793.90"
02/25/2019,"2,804.35","2,813.49","2,794.99","2,796.11"
02/22/2019,"2,780.67","2,794.20","2,779.11","2,792.67"
02/21/2019,"2,780.24","2,781.58","2,764.55","2,774.88"
02/20/2019,"2,779.05","2,789.88","2,774.06","2,784.70"
02/19/2019,"2,769.28","2,787.33","2,767.29","2,779.76"
02/15/2019,"2,760.24","2,775.66","2,760.24","2,775.60"
02/14/2019,"2,743.50","2,757.90","2,731.23","2,745.73"
02/13/2019,"2,750.30","2,761.85","2,748.63","2,753.03"
02/12/2019,"2,722.61","2,748.19","2,722.61","2,744.73"
02/11/2019,"2,712.40","2,718.05","2,703.79","2,709.80"
02/08/2019,"2,692.36","2,708.07","2,681.83","2,707.88"
02/07/2019,"2,717.53","2,719.32","2,687.26","2,706.05"
02/06/2019,"2,735.05","2,738.08","2,724.15","2,731.61"
02/05/2019,"2,728.34","2,738.98","2,724.03","2,737.70"
02/04/2019,"2,706.49","2,724.99","2,698.75","2,724.87"
02/01/2019,"2,702.32","2,716.66","2,696.88","2,706.53"
01/31/2019,"2,685.49","2,708.95","2,678.65","2,704.10"
01/30/2019,"2,653.62","2,690.44","2,648.34","2,681.05"
01/29/2019,"2,644.89","2,650.93","2,631.05","2,640.00"
01/28/2019,"2,644.97","2,644.97","2,624.06","2,643.85"
01/25/2019,"2,657.44","2,672.38","2,657.33","2,664.76"
01/24/2019,"2,638.84","2,647.20","2,627.01","2,642.33"
01/23/2019,"2,643.48","2,653.19","2,612.86","2,638.70"
01/22/2019,"2,657.88","2,657.88","2,617.27","2,632.90"
01/18/2019,"2,651.27","2,675.47","2,647.58","2,670.71"
01/17/2019,"2,609.28","2,645.06","2,606.36","2,635.96"
01/16/2019,"2,614.75","2,625.76","2,612.68","2,616.10"
01/15/2019,"2,585.10","2,613.08","2,585.10","2,610.30"
01/14/2019,"2,580.31","2,589.32","2,570.41","2,582.61"
01/11/2019,"2,588.11","2,596.27","2,577.40","2,596.26"
01/10/2019,"2,573.51","2,597.82","2,562.02","2,596.64"
01/09/2019,"2,580.00","2,595.32","2,568.89","2,584.96"
01/08/2019,"2,568.11","2,579.82","2,547.56","2,574.41"
01/07/2019,"2,535.61","2,566.16","2,524.56","2,549.69"
01/04/2019,"2,474.33","2,538.07","2,474.33","2,531.94"
01/03/2019,"2,491.92","2,493.14","2,443.96","2,447.89"
01/02/2019,"2,476.96","2,519.49","2,467.47","2,510.03"
12/31/2018,"2,498.94","2,509.24","2,482.82","2,506.85"
12/28/2018,"2,498.77","2,520.27","2,472.89","2,485.74"
12/27/2018,"2,442.50","2,489.10","2,397.94","2,488.83"
12/26/2018,"2,363.12","2,467.76","2,346.58","2,467.70"
12/24/2018,"2,400.56","2,410.34","2,351.10","2,351.10"
12/21/2018,"2,465.38","2,504.41","2,408.55","2,416.62"
12/20/2018,"2,496.77","2,509.63","2,441.18","2,467.42"
12/19/2018,"2,547.05","2,585.29","2,488.96","2,506.96"
12/18/2018,"2,559.90","2,573.99","2,528.71","2,546.16"
12/17/2018,"2,590.75","2,601.13","2,530.54","2,545.94"
12/14/2018,"2,629.68","2,635.07","2,593.84","2,599.95"
12/13/2018,"2,658.70","2,670.19","2,637.27","2,650.54"
12/12/2018,"2,658.23","2,685.44","2,650.26","2,651.07"
12/11/2018,"2,664.44","2,674.35","2,621.30","2,636.78"
12/10/2018,"2,630.86","2,647.51","2,583.23","2,637.72"
12/07/2018,"2,691.26","2,708.54","2,623.14","2,633.08"
12/06/2018,"2,663.51","2,696.15","2,621.53","2,695.95"
12/04/2018,"2,782.43","2,785.93","2,697.18","2,700.06"
12/03/2018,"2,790.50","2,800.18","2,773.38","2,790.37"
11/30/2018,"2,737.76","2,760.88","2,732.76","2,760.17"
11/29/2018,"2,736.97","2,753.75","2,722.94","2,737.76"
11/28/2018,"2,691.45","2,744.00","2,684.38","2,743.79"
11/27/2018,"2,663.75","2,682.53","2,655.89","2,682.17"
11/26/2018,"2,649.97","2,674.35","2,649.97","2,673.45"
11/23/2018,"2,633.36","2,647.55","2,631.09","2,632.56"
11/21/2018,"2,657.74","2,670.73","2,649.82","2,649.93"
11/20/2018,"2,654.60","2,669.44","2,631.52","2,641.89"
11/19/2018,"2,730.74","2,733.16","2,681.09","2,690.73"
11/16/2018,"2,718.54","2,746.75","2,712.16","2,736.27"
11/15/2018,"2,693.52","2,735.38","2,670.75","2,730.20"
11/14/2018,"2,737.90","2,746.80","2,685.75","2,701.58"
11/13/2018,"2,730.05","2,754.60","2,714.98","2,722.18"
11/12/2018,"2,773.93","2,775.99","2,722.00","2,726.22"
11/09/2018,"2,794.10","2,794.10","2,764.24","2,781.01"
11/08/2018,"2,806.38","2,814.75","2,794.99","2,806.83"
11/07/2018,"2,774.13","2,815.15","2,774.13","2,813.89"
11/06/2018,"2,738.40","2,756.82","2,737.08","2,755.45"
11/05/2018,"2,726.37","2,744.27","2,717.94","2,738.31"
11/02/2018,"2,745.45","2,756.55","2,700.44","2,723.06"
11/01/2018,"2,717.58","2,741.67","2,708.85","2,740.37"
10/31/2018,"2,705.60","2,736.69","2,705.60","2,711.74"
10/30/2018,"2,640.68","2,685.43","2,635.34","2,682.63"
10/29/2018,"2,682.65","2,706.85","2,603.54","2,641.25"
10/26/2018,"2,667.86","2,692.38","2,628.16","2,658.69"
10/25/2018,"2,674.88","2,722.70","2,667.84","2,705.57"
10/24/2018,"2,737.87","2,742.59","2,651.89","2,656.10"
10/23/2018,"2,721.03","2,753.59","2,691.43","2,740.69"
10/22/2018,"2,773.94","2,778.94","2,749.22","2,755.88"
10/19/2018,"2,775.66","2,797.77","2,760.27","2,767.78"
10/18/2018,"2,802.00","2,806.04","2,755.18","2,768.78"
10/17/2018,"2,811.67","2,816.94","2,781.81","2,809.21"
10/16/2018,"2,767.05","2,813.46","2,766.91","2,809.92"
10/15/2018,"2,763.83","2,775.99","2,749.03","2,750.79"
10/12/2018,"2,770.54","2,775.77","2,729.44","2,767.13"
10/11/2018,"2,776.87","2,795.14","2,710.51","2,728.37"
10/10/2018,"2,873.90","2,874.02","2,784.86","2,785.68"
10/09/2018,"2,882.51","2,894.83","2,874.27","2,880.34"
10/08/2018,"2,877.53","2,889.45","2,862.08","2,884.43"
10/05/2018,"2,902.54","2,909.64","2,869.29","2,885.57"
10/04/2018,"2,919.35","2,919.78","2,883.92","2,901.61"
10/03/2018,"2,931.69","2,939.86","2,921.36","2,925.51"
10/02/2018,"2,923.80","2,931.42","2,919.37","2,923.43"
10/01/2018,"2,926.29","2,937.06","2,917.91","2,924.59"
09/28/2018,"2,910.03","2,920.53","2,907.50","2,913.98"
09/27/2018,"2,911.65","2,927.22","2,909.27","2,914.00"
09/26/2018,"2,916.98","2,931.15","2,903.28","2,905.97"
09/25/2018,"2,921.75","2,923.95","2,913.70","2,915.56"
09/24/2018,"2,921.83","2,923.79","2,912.63","2,919.37"
09/21/2018,"2,936.76","2,940.91","2,927.11","2,929.67"
09/20/2018,"2,919.73","2,934.80","2,919.73","2,930.75"
09/19/2018,"2,906.60","2,912.36","2,903.82","2,907.95"
09/18/2018,"2,890.74","2,911.17","2,890.43","2,904.31"
09/17/2018,"2,903.83","2,904.65","2,886.16","2,888.80"
09/14/2018,"2,906.38","2,908.30","2,895.77","2,904.98"
09/13/2018,"2,896.85","2,906.76","2,896.39","2,904.18"
09/12/2018,"2,888.29","2,894.65","2,879.20","2,888.92"
09/11/2018,"2,871.57","2,892.52","2,866.78","2,887.89"
09/10/2018,"2,881.39","2,886.93","2,875.94","2,877.13"
09/07/2018,"2,868.26","2,883.81","2,864.12","2,871.68"
09/06/2018,"2,888.64","2,892.05","2,867.29","2,878.05"
09/05/2018,"2,891.59","2,894.21","2,876.92","2,888.60"
09/04/2018,"2,896.96","2,900.18","2,885.13","2,896.72"
08/31/2018,"2,898.37","2,906.32","2,891.73","2,901.52"
08/30/2018,"2,908.94","2,912.46","2,895.22","2,901.13"
08/29/2018,"2,900.62","2,916.50","2,898.40","2,914.04"
08/28/2018,"2,901.45","2,903.77","2,893.50","2,897.52"
08/27/2018,"2,884.69","2,898.25","2,884.69","2,896.74"
08/24/2018,"2,862.35","2,876.16","2,862.35","2,874.69"
08/23/2018,"2,860.29","2,868.78","2,854.03","2,856.98"
08/22/2018,"2,860.99","2,867.54","2,856.05","2,861.82"
08/21/2018,"2,861.51","2,873.23","2,861.32","2,862.96"
08/20/2018,"2,853.93","2,859.76","2,850.62","2,857.05"
08/17/2018,"2,838.32","2,855.63","2,833.73","2,850.13"
08/16/2018,"2,831.44","2,850.49","2,831.44","2,840.69"
08/15/2018,"2,827.95","2,827.95","2,802.49","2,818.37"
08/14/2018,"2,827.88","2,843.11","2,826.58","2,839.96"
08/13/2018,"2,835.46","2,843.40","2,819.88","2,821.93"
08/10/2018,"2,839.64","2,842.20","2,825.81","2,833.28"
08/09/2018,"2,857.19","2,862.48","2,851.98","2,853.58"
08/08/2018,"2,856.79","2,862.44","2,853.09","2,857.70"
08/07/2018,"2,855.92","2,863.43","2,855.92","2,858.45"
08/06/2018,"2,840.29","2,853.29","2,835.98","2,850.40"
08/03/2018,"2,829.62","2,840.38","2,827.37","2,840.35"
08/02/2018,"2,800.48","2,829.91","2,796.34","2,827.22"
08/01/2018,"2,821.17","2,825.83","2,805.85","2,813.36"
07/31/2018,"2,809.73","2,824.46","2,808.06","2,816.29"
07/30/2018,"2,819.00","2,821.74","2,798.11","2,802.60"
07/27/2018,"2,842.35","2,843.17","2,808.34","2,818.82"
07/26/2018,"2,835.49","2,845.57","2,835.26","2,837.44"
07/25/2018,"2,817.73","2,848.03","2,817.73","2,846.07"
07/24/2018,"2,820.68","2,829.99","2,811.12","2,820.40"
07/23/2018,"2,799.17","2,808.61","2,795.14","2,806.98"
07/20/2018,"2,804.55","2,809.70","2,800.01","2,801.83"
07/19/2018,"2,809.37","2,812.05","2,799.77","2,804.49"
07/18/2018,"2,811.35","2,816.76","2,805.89","2,815.62"
07/17/2018,"2,789.34","2,814.19","2,789.24","2,809.55"
07/16/2018,"2,801.43","2,803.71","2,793.39","2,798.43"
07/13/2018,"2,796.93","2,804.53","2,791.69","2,801.31"
07/12/2018,"2,783.14","2,799.22","2,781.53","2,798.29"
07/11/2018,"2,779.82","2,785.91","2,770.77","2,774.02"
07/10/2018,"2,788.56","2,795.58","2,786.24","2,793.84"
07/09/2018,"2,768.51","2,784.65","2,768.51","2,784.17"
07/06/2018,"2,737.68","2,764.41","2,733.52","2,759.82"
07/05/2018,"2,724.19","2,737.83","2,716.02","2,736.61"
07/03/2018,"2,733.27","2,736.58","2,711.16","2,713.22"
07/02/2018,"2,704.95","2,727.26","2,698.95","2,726.71"
06/29/2018,"2,727.13","2,743.26","2,718.03","2,718.37"
06/28/2018,"2,698.69","2,724.34","2,691.99","2,716.31"
06/27/2018,"2,728.45","2,746.09","2,699.38","2,699.63"
06/26/2018,"2,722.12","2,732.91","2,715.60","2,723.06"
06/25/2018,"2,742.94","2,742.94","2,698.67","2,717.07"
06/22/2018,"2,760.79","2,764.17","2,752.68","2,754.88"
06/21/2018,"2,769.28","2,769.28","2,744.39","2,749.76"
06/20/2018,"2,769.73","2,774.86","2,763.91","2,767.32"
06/19/2018,"2,752.01","2,765.05","2,743.19","2,762.59"
06/18/2018,"2,765.79","2,774.99","2,757.12","2,773.75"
06/15/2018,"2,777.78","2,782.81","2,761.73","2,779.66"
06/14/2018,"2,783.21","2,789.06","2,776.52","2,782.49"
06/13/2018,"2,787.94","2,791.47","2,774.65","2,775.63"
06/12/2018,"2,785.60","2,789.80","2,778.78","2,786.85"
06/11/2018,"2,780.18","2,790.21","2,780.17","2,782.00"
06/08/2018,"2,765.84","2,779.39","2,763.59","2,779.03"
06/07/2018,"2,774.84","2,779.90","2,760.16","2,770.37"
06/06/2018,"2,753.25","2,772.39","2,748.46","2,772.35"
06/05/2018,"2,748.46","2,752.61","2,739.51","2,748.80"
06/04/2018,"2,741.67","2,749.16","2,740.54","2,746.87"
06/01/2018,"2,718.70","2,736.93","2,718.70","2,734.62"
05/31/2018,"2,720.98","2,722.50","2,700.68","2,705.27"
05/30/2018,"2,702.43","2,729.34","2,702.43","2,724.01"
05/29/2018,"2,705.11","2,710.67","2,676.81","2,689.86"
05/25/2018,"2,723.60","2,727.36","2,714.99","2,721.33"
05/24/2018,"2,730.94","2,731.97","2,707.38","2,727.76"
05/23/2018,"2,713.98","2,733.33","2,709.54","2,733.29"
05/22/2018,"2,738.34","2,742.24","2,721.88","2,724.44"
05/21/2018,"2,725.95","2,739.19","2,725.70","2,733.01"
05/18/2018,"2,717.35","2,719.50","2,709.18","2,712.97"
05/17/2018,"2,719.71","2,731.96","2,711.36","2,720.13"
05/16/2018,"2,712.62","2,727.76","2,712.17","2,722.46"
05/15/2018,"2,718.59","2,718.59","2,701.91","2,711.45"
05/14/2018,"2,733.37","2,742.10","2,725.47","2,730.13"
05/11/2018,"2,722.70","2,732.86","2,717.45","2,727.72"
05/10/2018,"2,705.02","2,726.11","2,704.54","2,723.07"
05/09/2018,"2,678.12","2,701.27","2,674.14","2,697.79"
05/08/2018,"2,670.26","2,676.34","2,655.20","2,671.92"
05/07/2018,"2,669.36","2,683.35","2,664.70","2,672.63"
05/04/2018,"2,621.45","2,670.93","2,615.32","2,663.42"
05/03/2018,"2,628.08","2,637.14","2,594.62","2,629.73"
05/02/2018,"2,654.24","2,660.87","2,631.70","2,635.67"
05/01/2018,"2,643.64","2,655.27","2,625.41","2,654.80"
04/30/2018,"2,675.05","2,682.92","2,648.04","2,648.05"
04/27/2018,"2,675.47","2,677.35","2,659.01","2,669.91"
