Date,Open,High,Low,Close,Volume
02/02/2022,"125.91","129.00","122.27","125.50","190,125"
02/01/2022,"126.48","127.27","123.06","125.98","243,181"
01/31/2022,"119.38","124.91","117.70","124.83","337,813"
01/28/2022,"114.12","118.94","112.37","118.94","260,057"
01/27/2022,"121.37","122.99","113.38","114.90","325,484"
01/26/2022,"124.55","126.49","117.55","118.33","257,781"
01/25/2022,"123.36","124.66","118.20","121.89","240,377"
01/24/2022,"126.14","127.74","116.69","125.51","575,773"
01/21/2022,"128.80","132.71","125.54","128.72","400,559"
01/20/2022,"130.66","134.24","128.97","130.07","386,115"
01/19/2022,"133.52","135.71","127.37","127.67","360,416"
01/18/2022,"141.60","141.64","132.28","132.98","589,893"
01/14/2022,"143.12","144.48","138.13","141.10","439,784"
01/13/2022,"145.74","147.89","140.42","143.12","514,455"
01/12/2022,"145.19","145.99","135.81","142.39","665,370"
01/11/2022,"131.18","144.45","130.26","141.32","1,018,416"
01/10/2022,"102.50","141.00","102.50","130.04","2,586,550"
01/07/2022,"105.40","106.77","101.63","101.95","315,690"
01/06/2022,"104.33","107.85","103.83","104.61","267,836"
01/05/2022,"116.56","117.92","105.88","106.01","385,084"
01/04/2022,"120.37","120.37","115.12","116.95","312,633"
01/03/2022,"118.85","121.67","118.08","120.67","329,777"
12/31/2021,"117.00","121.49","117.00","117.69","183,141"
12/30/2021,"116.42","120.00","115.85","117.39","203,465"
12/29/2021,"113.91","116.88","112.72","116.02","167,825"
12/28/2021,"118.84","120.15","113.38","113.89","337,599"
12/27/2021,"118.27","119.31","116.69","119.03","250,449"
12/23/2021,"118.00","122.20","115.96","118.81","232,017"
12/22/2021,"115.50","119.93","114.18","119.48","288,385"
12/21/2021,"109.55","115.64","106.66","115.50","405,057"
12/20/2021,"104.87","109.96","101.71","108.75","968,372"
12/17/2021,"99.30","109.38","99.30","106.87","1,717,434"
12/16/2021,"95.87","100.97","95.54","99.97","705,181"
12/15/2021,"93.08","95.91","89.51","95.44","300,544"
12/14/2021,"90.37","91.81","87.77","89.18","282,296"
12/13/2021,"90.07","92.20","88.45","91.90","229,769"
12/10/2021,"95.00","95.55","88.72","90.07","240,795"
12/09/2021,"100.00","101.00","94.61","94.98","236,674"
12/08/2021,"100.61","101.54","98.01","100.85","238,631"
12/07/2021,"100.47","102.45","98.24","99.58","263,680"
12/06/2021,"96.97","99.75","94.21","97.64","285,184"
12/03/2021,"105.86","105.94","93.59","98.06","548,882"
12/02/2021,"104.81","107.32","102.09","104.79","398,496"
12/01/2021,"106.13","110.49","104.96","106.53","413,720"
11/30/2021,"101.45","106.50","100.42","105.60","432,268"
11/29/2021,"99.83","102.59","97.36","101.76","680,282"
11/26/2021,"98.65","99.93","95.85","98.00","191,631"
11/24/2021,"95.83","101.17","94.76","98.50","197,778"
11/23/2021,"95.71","97.13","86.73","96.62","565,692"
11/22/2021,"101.12","101.12","95.16","95.99","266,549"
11/19/2021,"101.98","104.03","100.11","100.25","309,010"
11/18/2021,"109.96","110.28","100.08","101.32","537,737"
11/17/2021,"107.93","110.58","106.66","110.13","374,855"
11/16/2021,"105.85","108.88","104.72","107.61","262,598"
11/15/2021,"107.13","107.13","104.31","105.91","341,559"
11/12/2021,"106.50","107.17","105.31","106.66","209,910"
11/11/2021,"102.34","106.99","100.78","106.41","249,208"
11/10/2021,"102.71","104.50","100.05","101.78","289,848"
11/09/2021,"102.70","104.75","100.13","103.11","234,079"
